title,year,value,update_date,coverage,description
POPULATION TOTALE,DECEMBRE 2021,"29,389M M",05-12-2024,DECEMBRE 2021,
TAUX BRUT DE MORTALITÉ,2021,"9,2‰ ‰",NOVEMBRE 2023,2021,
MORTALITÉ JUVENILE,2021,"21,4‰ ‰",05-12-2024,2021,
ESPÉRANCE DE VIE,2021,"61,2Ans Ans",05-12-2024,2021,
