title,year,value,update_date,coverage,description
TAUX DE PAUVRETÉ,2021,"37,5% %",05-12-2024,2021,
INDICE DE GINI,2021,"0,334 ",05-12-2024,2021,
PROFONDEUR DE LA PAUVRETÉ,2021,"10,4% %",05-12-2024,2021,
SÉVÉRITÉ DE LA PAUVRETÉ,2021,"4,1% %",05-12-2024,2021,
